wavenumber,absorbance
1848.0,0.0055642185534192645
1848.3013013013012,0.005157004630714446
1848.6026026026027,0.00475030294765677
1848.903903903904,0.004347014032874075
1849.2052052052052,0.003950011824758293
1849.5065065065064,0.003562141153108489
1849.8078078078079,0.0031862165034085566
1850.109109109109,0.002825022246630171
1850.4104104104103,0.002481314080082564
1850.7117117117118,0.0021578212612912706
1851.013013013013,0.001857249257535054
1851.3143143143143,0.001582282539198565
1851.6156156156155,0.0013355873391849293
1851.916916916917,0.001119814264650465
1852.2182182182182,0.0009376006859792563
1852.5195195195195,0.0007915728498835151
1852.820820820821,0.000683701455442054
1853.1221221221222,0.0006096794178342968
1853.4234234234234,0.0005616688683873772
1853.7247247247246,0.000531786654187627
1854.026026026026,0.0005121440230716479
1854.3273273273273,0.0004948469208604367
1854.6286286286286,0.0004720359054877221
1854.92992992993,0.0004384627914244543
1855.2312312312313,0.00039306979660069796
1855.5325325325325,0.0003351725112086257
1855.8338338338338,0.00026408260443389064
1856.1351351351352,0.00017910840137014272
1856.4364364364365,7.955559174355198e-05
1856.7377377377377,0.0
1857.039039039039,0.0
1857.3403403403404,0.0
1857.6416416416416,0.0
1857.9429429429429,0.0
1858.2442442442443,0.0
1858.5455455455456,0.0
1858.8468468468468,0.0
1859.148148148148,0.0
1859.4494494494495,0.0
1859.7507507507507,0.0
1860.052052052052,0.0
1860.3533533533534,0.0
1860.6546546546547,0.0
1860.955955955956,0.0
1861.2572572572572,0.0
1861.5585585585586,0.0
1861.8598598598599,0.0
1862.161161161161,0.0
1862.4624624624626,0.0
1862.7637637637638,0.0
1863.065065065065,0.0
1863.3663663663663,0.0
1863.6676676676677,0.0
1863.968968968969,0.0
1864.2702702702702,0.0
1864.5715715715717,0.0
1864.872872872873,0.0
1865.1741741741741,0.0
1865.4754754754754,0.0
1865.7767767767768,0.0
1866.078078078078,0.0
1866.3793793793793,0.0
1866.6806806806808,0.0
1866.981981981982,0.0
1867.2832832832833,0.0
1867.5845845845845,0.0
1867.885885885886,0.0
1868.1871871871872,0.0
1868.4884884884884,0.0
1868.78978978979,0.0
1869.0910910910911,0.0
1869.3923923923924,0.0
1869.6936936936936,0.0
1869.994994994995,0.0
1870.2962962962963,0.0
1870.5975975975975,0.0
1870.898898898899,0.0
1871.2002002002002,0.0
1871.5015015015015,0.0
1871.8028028028027,0.0
1872.1041041041042,0.0
1872.4054054054054,0.0
1872.7067067067067,0.0
1873.008008008008,0.0
1873.3093093093094,0.0
1873.6106106106106,0.0
1873.9119119119118,0.0
1874.2132132132133,0.0
1874.5145145145145,0.0
1874.8158158158158,0.0
1875.117117117117,0.0
1875.4184184184185,0.0
1875.7197197197197,0.0
1876.021021021021,0.0
1876.3223223223224,0.0
1876.6236236236236,0.0
1876.9249249249249,0.0
1877.2262262262261,0.0
1877.5275275275276,0.0
1877.8288288288288,0.0
1878.13013013013,0.0
1878.4314314314315,0.0
1878.7327327327328,0.0
1879.034034034034,0.0
1879.3353353353352,0.0
1879.6366366366367,0.0
1879.937937937938,0.0
1880.2392392392392,0.0
1880.5405405405406,0.0
1880.8418418418419,0.0
1881.143143143143,0.0
1881.4444444444443,0.0
1881.7457457457458,0.0
1882.047047047047,0.0
1882.3483483483483,0.0
1882.6496496496497,0.0
1882.950950950951,0.0
1883.2522522522522,0.0
1883.5535535535535,0.0
1883.854854854855,0.0
1884.1561561561562,0.0
1884.4574574574574,0.0
1884.7587587587589,0.0
1885.06006006006,0.0
1885.3613613613613,7.081799592079108e-06
1885.6626626626626,3.4808012915443776e-05
1885.963963963964,4.3329143948445115e-05
1886.2652652652653,3.258620846524618e-05
1886.5665665665665,2.51982588039823e-06
1886.867867867868,0.0
1887.1691691691692,0.0
1887.4704704704704,0.0
1887.7717717717717,0.0
1888.0730730730731,0.0
1888.3743743743744,0.0
1888.6756756756756,0.0
1888.9769769769769,0.0
1889.2782782782783,0.0
1889.5795795795796,0.0
1889.8808808808808,0.0
1890.1821821821823,0.0
1890.4834834834835,0.0
1890.7847847847847,0.0
1891.0860860860862,0.0
1891.3873873873874,0.0
1891.6886886886887,0.00018009753551884167
1891.98998998999,0.00040803300570779744
1892.2912912912914,0.0006438222088380741
1892.5925925925926,0.0008802214755792015
1892.8938938938938,0.001109980720744863
1893.195195195195,0.0013259140053571983
1893.4964964964965,0.0015241161981173201
1893.7977977977978,0.0017052305811290358
1894.099099099099,0.0018702207231421353
1894.4004004004005,0.0020200333913216184
1894.7017017017017,0.0021555969938931163
1895.003003003003,0.0022778201917939
1895.3043043043042,0.002387929746158979
1895.6056056056057,0.0024885781508260374
1895.906906906907,0.0025827812322058996
1896.2082082082081,0.002673530970277338
1896.5095095095096,0.002763794731681868
1896.8108108108108,0.0028565145606554987
1897.112112112112,0.0029545521034080036
1897.4134134134133,0.003059863789617978
1897.7147147147148,0.0031736677834597327
1898.016016016016,0.003297133871539293
1898.3173173173172,0.0034314076752709477
1898.6186186186187,0.0035776102253426423
1898.91991991992,0.0037368454122876926
1899.2212212212212,0.003912244364558948
1899.5225225225224,0.004111706576884866
1899.823823823824,0.004343789816106947
1900.1251251251251,0.004617027588104006
1900.4264264264264,0.004939930355631339
1900.7277277277278,0.0053209875178880095
1901.029029029029,0.005768406375641799
1901.3303303303303,0.006288342409653369
1901.6316316316315,0.006885991697999083
1901.932932932933,0.007566536735721718
1902.2342342342342,0.008335153586487065
1902.5355355355355,0.00919701275530016
1902.836836836837,0.010157065522986675
1903.1381381381382,0.011211390015304135
1903.4394394394394,0.012344207288945253
1903.7407407407406,0.013538905372421417
1904.042042042042,0.01477886488532254
1904.3433433433433,0.0160474583233835
1904.6446446446446,0.017328049314920824
1904.945945945946,0.018603633011064158
1905.2472472472473,0.019855723740704656
1905.5485485485485,0.021065448093868677
1905.8498498498498,0.022213920746956495
1906.1511511511512,0.023282243737101083
1906.4524524524525,0.024251505773082327
1906.7537537537537,0.025103141742128354
1907.0550550550552,0.025824075486132525
1907.3563563563564,0.02640551179673789
1907.6576576576576,0.026838753965836015
1907.9589589589589,0.027115089442011464
1908.2602602602603,0.027225789570595516
1908.5615615615616,0.027162128862166734
1908.8628628628628,0.02691962262286718
1909.164164164164,0.0265033362907362
1909.4654654654655,0.025919624189929213
1909.7667667667668,0.02517482474260324
1910.068068068068,0.02427526081913778
1910.3693693693695,0.023227240185018205
1910.6706706706707,0.022039041711137908
1910.971971971972,0.020733596645034935
1911.2732732732732,0.019340392962544417
1911.5745745745746,0.017888937114038272
1911.8758758758759,0.016408723945658066
1912.177177177177,0.014929237570176057
1912.4784784784786,0.013479780209845305
