wavenumber_cm1,absorbance_corrected
1848.0,0.006504900103878053
1848.3013013013012,0.0058473039178048025
1848.6026026026027,0.005218159216384022
1848.903903903904,0.004618250093989584
1849.2052052052052,0.004048340422347085
1849.5065065065064,0.0035091693875680674
1849.8078078078079,0.0030014480715546688
1850.109109109109,0.0025258587318879866
1850.4104104104103,0.0020830565534141754
1850.7117117117118,0.0016736728018674207
1851.013013013013,0.0012983185197373848
1851.3143143143143,0.0009575882898607002
1851.6156156156155,0.0006520638390116185
1851.916916916917,0.00038231737610883165
1852.2182182182182,0.00014891461509008996
1852.5195195195195,0.0
1852.820820820821,0.0
1853.1221221221222,0.0
1853.4234234234234,0.0
1853.7247247247246,0.0
1854.026026026026,0.0
1854.3273273273273,0.0
1854.6286286286286,0.0
1854.92992992993,0.0
1855.2312312312313,0.0
1855.5325325325325,0.0
1855.8338338338338,0.0
1856.1351351351352,0.0
1856.4364364364365,0.0
1856.7377377377377,0.0
1857.039039039039,0.0
1857.3403403403404,0.0
1857.6416416416416,0.0
1857.9429429429429,0.0
1858.2442442442443,0.0
1858.5455455455456,0.0
1858.8468468468468,0.0
1859.148148148148,0.0
1859.4494494494495,0.0
1859.7507507507507,0.0
1860.052052052052,0.0
1860.3533533533534,0.0
1860.6546546546547,0.0
1860.955955955956,0.0
1861.2572572572572,0.0
1861.5585585585586,0.0
1861.8598598598599,0.0
1862.161161161161,0.0
1862.4624624624626,0.0
1862.7637637637638,0.0
1863.065065065065,0.0
1863.3663663663663,0.0
1863.6676676676677,0.0
1863.968968968969,0.0
1864.2702702702702,0.0
1864.5715715715717,0.0
1864.872872872873,0.0
1865.1741741741741,0.0
1865.4754754754754,0.0
1865.7767767767768,0.0
1866.078078078078,0.0
1866.3793793793793,0.0
1866.6806806806808,0.0
1866.981981981982,0.0
1867.2832832832833,0.0
1867.5845845845845,0.0
1867.885885885886,0.0
1868.1871871871872,0.00010214878539877015
1868.4884884884884,0.0002203250416522029
1868.78978978979,0.0003375123210905828
1869.0910910910911,0.00045016561890676154
1869.3923923923924,0.000554736563678826
1869.6936936936936,0.0006476722956368364
1869.994994994995,0.0007254147623032003
1870.2962962962963,0.0007845708091581138
1870.5975975975975,0.000822190027372327
1870.898898898899,0.0008353871731308637
1871.2002002002002,0.0008212688218686703
1871.5015015015015,0.0007769332377495775
1871.8028028028027,0.0006994705133013812
1872.1041041041042,0.000586649857673649
1872.4054054054054,0.0004423056383974222
1872.7067067067067,0.00027343316817546315
1873.008008008008,8.705074802500823e-05
1873.3093093093094,0.0
1873.6106106106106,0.0
1873.9119119119118,0.0
1874.2132132132133,0.0
1874.5145145145145,0.0
1874.8158158158158,0.0
1875.117117117117,0.0
1875.4184184184185,0.0
1875.7197197197197,0.0
1876.021021021021,0.0
1876.3223223223224,0.0
1876.6236236236236,0.0
1876.9249249249249,0.0
1877.2262262262261,0.0
1877.5275275275276,0.0
1877.8288288288288,0.0
1878.13013013013,0.0
1878.4314314314315,0.0
1878.7327327327328,0.0
1879.034034034034,0.0
1879.3353353353352,0.0
1879.6366366366367,0.0
1879.937937937938,0.0
1880.2392392392392,0.0
1880.5405405405406,7.04978522977906e-05
1880.8418418418419,0.00015150567858546182
1881.143143143143,0.00023450017859438788
1881.4444444444443,0.00032298402718111685
1881.7457457457458,0.00042028904393370814
1882.047047047047,0.0005283205671519631
1882.3483483483483,0.0006482649346992719
1882.6496496496497,0.0007812978282517036
1882.950950950951,0.0009285884722054494
1883.2522522522522,0.0010912983148890776
1883.5535535535535,0.001270517894257417
1883.854854854855,0.001464284414931738
1884.1561561561562,0.0016662505492558988
1884.4574574574574,0.0018697159366313776
1884.7587587587589,0.002067963826967112
1885.06006006006,0.0022542591793642264
1885.3613613613613,0.0024218468638721458
1885.6626626626626,0.002564763059174302
1885.963963963964,0.002680638304006444
1886.2652652652653,0.002768084665410675
1886.5665665665665,0.0028256891876005663
1886.867867867868,0.002852013250585872
1887.1691691691692,0.0028455921945927942
1887.4704704704704,0.002805158177617062
1887.7717717717717,0.0027332283978055427
1888.0730730730731,0.002635491141802393
1888.3743743743744,0.0025177082584263988
1888.6756756756756,0.0023856168569549863
1888.9769769769769,0.0022449301903800234
1889.2782782782783,0.002101336534274467
1889.5795795795796,0.0019598039460073102
1889.8808808808808,0.0018235838786596625
1890.1821821821823,0.0016956562014322496
1890.4834834834835,0.0015789829194919336
1890.7847847847847,0.0014765093708839494
1891.0860860860862,0.0013911653328920193
1891.3873873873874,0.0013255907670781664
1891.6886886886887,0.0012801899096016034
1891.98998998999,0.0012542794343955999
1892.2912912912914,0.0012471563371614924
1892.5925925925926,0.0012581051862501358
1892.8938938938938,0.0012863981920917533
1893.195195195195,0.0013312521752905648
1893.4964964964965,0.0013899330731521053
1893.7977977977978,0.0014570079263064861
1894.099099099099,0.0015268325844413067
1894.4004004004005,0.0015937485053916234
1894.7017017017017,0.0016520820846042117
1895.003003003003,0.0016961440160653818
1895.3043043043042,0.0017209578107137968
1895.6056056056057,0.0017246433010794648
1895.906906906907,0.001706134110849411
1896.2082082082081,0.0016643469317946247
1896.5095095095096,0.0015981816898533174
1896.8108108108108,0.0015065219394748142
1897.112112112112,0.0013884992272435448
1897.4134134134133,0.0012474896195611151
1897.7147147147148,0.0010903022431782983
1898.016016016016,0.0009238327939233848
1898.3173173173172,0.0007549661442691757
1898.6186186186187,0.0005905779817388379
1898.91991991992,0.00043753035335064583
1899.2212212212212,0.00030106592593232007
1899.5225225225224,0.00018265453176008473
1899.823823823824,8.322591218379305e-05
1900.1251251251251,3.7079857060362542e-06
1900.4264264264264,0.0
1900.7277277277278,0.0
1901.029029029029,0.0
1901.3303303303303,0.0
1901.6316316316315,0.0
1901.932932932933,0.0
1902.2342342342342,0.0
1902.5355355355355,1.0741642535283535e-05
1902.836836836837,3.882571078622776e-05
1903.1381381381382,5.8791716257333704e-05
1903.4394394394394,6.931893104739073e-05
1903.7407407407406,6.922321978519719e-05
1904.042042042042,5.731975510370191e-05
