wavenumber_cm1,absorbance_corrected
1848.0,0.0
1848.3013013013012,0.0
1848.6026026026027,0.0
1848.903903903904,0.0002216321274777222
1849.2052052052052,0.0009871995130558697
1849.5065065065064,0.0015856127245433838
1849.8078078078079,0.0020325026405600966
1850.109109109109,0.0023434843979461273
1850.4104104104103,0.002534153056433619
1850.7117117117118,0.0026200806519831588
1851.013013013013,0.0026168144336758403
1851.3143143143143,0.0025398760831282785
1851.6156156156155,0.002404761743984407
1851.916916916917,0.002226942720725822
1852.2182182182182,0.002021866723198651
1852.5195195195195,0.001804959532829109
1852.820820820821,0.0015907798275402452
1853.1221221221222,0.0013856492069229676
1853.4234234234234,0.0011912539129688704
1853.7247247247246,0.0010092150128756527
1854.026026026026,0.00084114171521249
1854.3273273273273,0.0006886331732147144
1854.6286286286286,0.0005532547583483316
1854.92992992993,0.00043489222232789837
1855.2312312312313,0.00033074350941025843
1855.5325325325325,0.00023776069860781401
1855.8338338338338,0.0001528925668930481
1856.1351351351352,7.308551710355493e-05
1856.4364364364365,0.0
1856.7377377377377,0.0
1857.039039039039,0.0
1857.3403403403404,0.0
1857.6416416416416,0.0
1857.9429429429429,0.0
1858.2442442442443,0.0
1858.5455455455456,0.0
1858.8468468468468,0.0
1859.148148148148,0.0
1859.4494494494495,0.0
1859.7507507507507,0.0
1860.052052052052,0.0
1860.3533533533534,0.0
1860.6546546546547,0.0
1860.955955955956,0.0
1861.2572572572572,0.0
1861.5585585585586,0.0
1861.8598598598599,0.0
1862.161161161161,0.0
1862.4624624624626,0.0
1862.7637637637638,0.0
1863.065065065065,0.0
1863.3663663663663,2.798383958269035e-05
1863.6676676676677,8.808564371426408e-05
1863.968968968969,0.00011301014994391512
1864.2702702702702,9.408242194230976e-05
1864.5715715715717,2.450241700813205e-05
1864.872872872873,0.0
1865.1741741741741,0.0
1865.4754754754754,0.0
1865.7767767767768,0.0
1866.078078078078,0.0
1866.3793793793793,0.0
1866.6806806806808,0.0
1866.981981981982,0.0
1867.2832832832833,0.0
1867.5845845845845,0.0
1867.885885885886,0.0
1868.1871871871872,0.0
1868.4884884884884,0.0
1868.78978978979,0.0
1869.0910910910911,0.0
1869.3923923923924,0.0
1869.6936936936936,0.0
1869.994994994995,0.0
1870.2962962962963,0.0
1870.5975975975975,0.0
1870.898898898899,0.0
1871.2002002002002,0.0
1871.5015015015015,0.0
1871.8028028028027,0.0
1872.1041041041042,0.0
1872.4054054054054,0.0
1872.7067067067067,0.0
1873.008008008008,0.0
1873.3093093093094,0.0004404613682685854
1873.6106106106106,0.0008986750724011561
1873.9119119119118,0.0012695651119471463
1874.2132132132133,0.001547333520823313
1874.5145145145145,0.001740280479384515
1874.8158158158158,0.001857840851771042
1875.117117117117,0.001909432249911025
1875.4184184184185,0.0019044538919331666
1875.7197197197197,0.0018522861032336801
1876.021021021021,0.0017620604097463022
1876.3223223223224,0.0016418237230105825
1876.6236236236236,0.0014992966595758217
1876.9249249249249,0.0013421835124479142
1877.2262262262261,0.001178173679319161
1877.5275275275276,0.0010149432086596355
1877.8288288288288,0.0008600483944981585
1878.13013013013,0.0007190796432456348
1878.4314314314315,0.0005959182508140093
1878.7327327327328,0.0004943816766919684
1879.034034034034,0.00041828143450389765
1879.3353353353352,0.0003714241038503263
1879.6366366366367,0.00035760759433633993
1879.937937937938,0.00037882437001346414
1880.2392392392392,0.00043251426964774353
1880.5405405405406,0.0005154064750177434
1880.8418418418419,0.000624225850718696
1881.143143143143,0.000755692117750284
1881.4444444444443,0.0009065187692789411
1881.7457457457458,0.0010731539354189579
1882.047047047047,0.0012498591401811088
1882.3483483483483,0.0014297915681949491
1882.6496496496497,0.001606087718828364
1882.950950950951,0.0017718698793198762
1883.2522522522522,0.0019202443946892966
1883.5535535535535,0.00204433955488853
1883.854854854855,0.0021392133453358997
1884.1561561561562,0.0022027037514038006
1884.4574574574574,0.0022328445135442743
1884.7587587587589,0.002227647673055555
1885.06006006006,0.002185103287064394
1885.3613613613613,0.002103179477618844
1885.6626626626626,0.0019805601335584067
1885.963963963964,0.0018191889334767675
1886.2652652652653,0.0016219020500274905
1886.5665665665665,0.0013915176733686474
1886.867867867868,0.0011308378967174182
1887.1691691691692,0.0008426509779143609
1887.4704704704704,0.0005300257669456632
1887.7717717717717,0.00020101013160267467
1888.0730730730731,0.0
1888.3743743743744,0.0
1888.6756756756756,0.0
1888.9769769769769,0.0
1889.2782782782783,0.0
1889.5795795795796,0.0
1889.8808808808808,0.0
1890.1821821821823,0.0
1890.4834834834835,0.0
1890.7847847847847,0.0
1891.0860860860862,0.0
1891.3873873873874,0.0
1891.6886886886887,0.0
1891.98998998999,0.0
1892.2912912912914,0.0
1892.5925925925926,0.0
1892.8938938938938,0.0
1893.195195195195,0.0
1893.4964964964965,6.615495286604878e-05
1893.7977977977978,0.0002033787427781486
1894.099099099099,0.0003192335665158086
1894.4004004004005,0.00041805284894180783
1894.7017017017017,0.0005041668277195877
1895.003003003003,0.0005819015675478378
1895.3043043043042,0.0006554383919359363
1895.6056056056057,0.0007283562859941028
1895.906906906907,0.0008040685126716185
1896.2082082082081,0.0008859810688645609
1896.5095095095096,0.0009774919337851018
1896.8108108108108,0.0010819902547643534
1897.112112112112,0.0012025173481771678
1897.4134134134133,0.0013366435242774255
1897.7147147147148,0.0014775085844527802
1898.016016016016,0.0016181122140194737
1898.3173173173172,0.001751439416998124
1898.6186186186187,0.0018704591375368063
1898.91991991992,0.0019681321850519296
1899.2212212212212,0.00203983118276041
1899.5225225225224,0.002086585560346077
1899.823823823824,0.002110213588752019
1900.1251251251251,0.002112512944224265
1900.4264264264264,0.002095260482789185
1900.7277277277278,0.0020602122183289717
1901.029029029029,0.0020094753522664766
1901.3303303303303,0.0019480076064117835
1901.6316316316315,0.0018820831438376429
1901.932932932933,0.0018179643042195437
1902.2342342342342,0.0017618947988216616
1902.5355355355355,0.001720100331633334
1902.836836836837,0.0016987376548435185
1903.1381381381382,0.0017018111930243718
1903.4394394394394,0.0017304548485091442
1903.7407407407406,0.0017855866774930673
1904.042042042042,0.0018681075796395108
1904.3433433433433,0.0019789007617186383
1904.6446446446446,0.0021188309373014746
1904.945945945946,0.0022884664271565214
1905.2472472472473,0.0024872203037666907
1905.5485485485485,0.0027141926248837045
1905.8498498498498,0.002968459091468034
1906.1511511511512,0.003249068993764037
1906.4524524524525,0.003555043007015979
1906.7537537537537,0.0038851877910987542
1907.0550550550552,0.0042354784510706955
1907.3563563563564,0.004599670596512118
1907.6576576576576,0.004971425468435764
1907.9589589589589,0.005344367413120998
1908.2602602602603,0.005712084522067118
1908.5615615615616,0.006068128182730392
1908.8628628628628,0.006405530030434148
1909.164164164164,0.0067161964001806185
1909.4654654654655,0.0069918578360241845
1909.7667667667668,0.007224220873498055
1910.068068068068,0.00740496967157761
1910.3693693693695,0.007525767116739079
1910.6706706706707,0.007579334534430715
1910.971971971972,0.0075663427865400035
1911.2732732732732,0.007491012825048271
1911.5745745745746,0.007357562316141653
1911.8758758758759,0.0071701886219732724
1912.177177177177,0.006933068354854688
1912.4784784784786,0.00665030005067524
1912.7797797797798,0.006323798072136788
1913.081081081081,0.005952666090718872
1913.3823823823823,0.005535796857843223
1913.6836836836837,0.005072053212222705
1913.984984984985,0.00456026479258792
1914.2862862862862,0.003999225357321945
1914.5875875875877,0.003388589504225048
1914.888888888889,0.0027315065593338517
1915.1901901901902,0.0020319615849254125
1915.4914914914914,0.0012939130788804931
1915.7927927927929,0.0005212994671494608
1916.094094094094,0.0
1916.3953953953953,0.0
1916.6966966966968,0.0
1916.997997997998,0.0
1917.2992992992993,0.0
1917.6006006006005,0.0
1917.901901901902,0.0
1918.2032032032032,0.0
1918.5045045045044,0.0
1918.805805805806,0.0
1919.1071071071071,0.0
1919.4084084084084,0.0
1919.7097097097096,0.0
1920.011011011011,0.0
1920.3123123123123,0.0
1920.6136136136136,0.0
1920.914914914915,0.0
1921.2162162162163,0.0
1921.5175175175175,0.0
1921.8188188188187,0.0
1922.1201201201202,0.0
1922.4214214214214,0.0
1922.7227227227227,0.0
1923.0240240240241,0.0
1923.3253253253254,0.0
1923.6266266266266,0.0
1923.9279279279278,0.0
1924.2292292292293,0.0
1924.5305305305305,0.0
1924.8318318318318,0.0
1925.133133133133,0.0
1925.4344344344345,0.0
1925.7357357357357,0.0
1926.037037037037,0.0
1926.3383383383384,0.0
1926.6396396396397,0.0
1926.940940940941,0.0
1927.2422422422424,0.0
1927.5435435435436,0.0
1927.8448448448448,0.0
1928.146146146146,0.0
1928.4474474474475,0.0
1928.7487487487488,0.0
1929.05005005005,0.0
1929.3513513513512,0.0
1929.6526526526527,0.0
1929.953953953954,0.0
1930.2552552552552,0.0
1930.5565565565566,0.0
1930.8578578578579,0.0
1931.1591591591591,0.0
1931.4604604604604,0.0
1931.7617617617618,0.0
1932.063063063063,0.0
1932.3643643643643,0.0
1932.6656656656658,0.0
1932.966966966967,0.0
1933.2682682682682,0.0
1933.5695695695695,0.0
1933.870870870871,0.0
