peak_index,wavenumber_cm1,absorbance_corrected
794,2087.233233233233,0.016985484701832643
393,1966.4114114114113,0.04845264029093088
326,1946.2242242242241,0.0685855547224577
207,1910.3693693693695,0.02178358135956915
