wavenumber,cut_subtracted_absorbance
2149.4398053600635,0.21256465045444173
2147.5123034768853,0.2070958930149675
2145.584801593707,0.19924008453147593
2143.6572997105286,0.19030914177857047
2141.72979782735,0.1838188170773775
2139.8022959441714,0.17943126733198284
2137.8747940609933,0.17416251398543164
2135.947292177815,0.1677251803578651
2134.0197902946366,0.16179437202880612
2132.092288411458,0.15724386776605653
2130.16478652828,0.1539644864311446
2128.2372846451017,0.15123150822241338
2126.309782761923,0.14833478557541793
2124.3822808787445,0.14564791922537254
2122.4547789955664,0.1435587216053114
2120.527277112388,0.14243090456943797
2118.5997752292096,0.1433097824587339
2116.672273346031,0.14511822651690337
2114.744771462853,0.14621210862389472
2112.8172695796748,0.14818036045674882
2110.889767696496,0.1523119210380499
2108.9622658133176,0.15760152047066958
2107.0347639301394,0.1633159574041553
2105.1072620469613,0.169281409281778
2103.1797601637827,0.17561245028412373
2101.252258280604,0.1820549411100445
2099.324756397426,0.18887776858917354
2097.397254514248,0.19927767089678572
2095.4697526310692,0.21504748721622552
2093.5422507478906,0.23099388387258207
2091.614748864712,0.24118213277430753
2089.687246981534,0.24786788252827077
2087.759745098356,0.2553916339401683
2085.832243215177,0.26249924925036394
2083.9047413319986,0.26915540428233753
2081.9772394488205,0.27815044868782723
2080.0497375656423,0.28770825991662374
2078.1222356824637,0.2944365998083969
2076.194733799285,0.2986061002686091
2074.267231916107,0.3020132678002019
2072.339730032929,0.30521943793183526
2070.4122281497503,0.307535980565866
2068.4847262665717,0.30941968383910773
2066.5572243833935,0.31161017469233565
2064.6297225002154,0.3132775705349336
2062.702220617037,0.3137322817869926
2060.774718733858,0.31295859238977813
2058.84721685068,0.3109847504669848
2056.919714967502,0.3078821933229818
2054.9922130843233,0.3045011154160674
2053.0647112011447,0.30155309436946887
2051.1372093179666,0.2983750572353408
2049.2097074347885,0.29501294826899727
2047.2822055516096,0.29220013099551123
2045.3547036684313,0.29005235004331353
2043.427201785253,0.2882625224156124
2041.4996999020746,0.2859123683128147
2039.5721980188962,0.2832950705149763
2037.6446961357178,0.28184310648445954
2035.7171942525395,0.28120749118097715
2033.789692369361,0.28049706516571743
2031.8621904861827,0.28030420660304456
2029.9346886030044,0.28018778043993414
2028.007186719826,0.2787746961377799
2026.0796848366476,0.2770444945036433
2024.1521829534693,0.27677499404107275
2022.224681070291,0.27799277270658057
2020.2971791871125,0.2795682927768306
2018.3696773039342,0.2804995467514997
2016.4421754207558,0.28148175273634013
2014.5146735375774,0.28432919943896445
2012.587171654399,0.28912066556177457
2010.6596697712207,0.294092783977099
2008.7321678880423,0.2988765456669258
2006.804666004864,0.3047303461900347
2004.8771641216856,0.3113369859234859
2002.9496622385072,0.31717230163269033
2001.0221603553289,0.32154351044756163
1999.0946584721503,0.32487973710056955
1997.167156588972,0.3283940863640744
1995.2396547057936,0.33263726434733437
1993.3121528226152,0.3376222152593937
1991.3846509394368,0.3434035314547001
1989.4571490562585,0.34866937838928896
1987.52964717308,0.3522101886165231
1985.6021452899017,0.3546801520679074
1983.6746434067234,0.3564597503002865
1981.747141523545,0.3571550427059306
1979.8196396403666,0.3565865600801012
1977.8921377571883,0.35407965244341016
1975.96463587401,0.3496524659884246
1974.0371339908315,0.34562539970104317
1972.1096321076532,0.3438186781517587
1970.1821302244748,0.343087272819007
1968.2546283412964,0.3418529146698047
1966.327126458118,0.3416122491460259
1964.3996245749397,0.3468652549097439
1962.4721226917613,0.3629214287533896
1960.544620808583,0.3876863973964487
1958.6171189254046,0.4022073905363302
1956.6896170422262,0.39019837507744687
1954.7621151590479,0.36513152187674086
1952.8346132758695,0.3507042306694401
1950.907111392691,0.35508431237626253
1948.9796095095126,0.3685245404732277
1947.0521076263344,0.3726905978868411
1945.1246057431558,0.3600556727877937
1943.1971038599777,0.3426922906112533
1941.269601976799,0.33362625847008487
1939.342100093621,0.3299725847300714
1937.4145982104424,0.3231025848087946
1935.4870963272642,0.3140652678368257
1933.5595944440856,0.3082775019345231
1931.6320925609075,0.3060593201118912
1929.704590677729,0.3054265812556097
1927.7770887945503,0.3063097301395143
1925.8495869113722,0.308867205146723
1923.9220850281936,0.3120652175921798
1921.9945831450154,0.31529598566752387
1920.0670812618368,0.3195499475797898
1918.1395793786587,0.3263058100571189
1916.2120774954801,0.33494817096597124
1914.284575612302,0.34343137529384676
1912.3570737291234,0.350848843720319
1910.4295718459452,0.358029650102336
1908.5020699627667,0.36645077271777937
1906.5745680795885,0.37541317141477415
1904.64706619641,0.3829665226154751
1902.7195643132318,0.38964551018945903
1900.7920624300532,0.39678464707705213
1898.864560546875,0.40362605430957216
1896.9370586636965,0.40893592133158196
1895.0095567805183,0.41254404265198935
1893.0820548973397,0.4149554219825459
1891.1545530141616,0.417016364005601
1889.227051130983,0.4188563743266024
1887.2995492478049,0.41972390794620634
1885.3720473646263,0.41912842141511597
1883.4445454814481,0.41667528553482486
1881.5170435982695,0.412558436379029
1879.589541715091,0.4083058203691171
1877.6620398319128,0.40515470671137765
1875.7345379487342,0.4025811740324515
1873.807036065556,0.39920660325811036
1871.8795341823775,0.39449275754684515
1869.9520322991993,0.3889480138383235
1868.0245304160208,0.38356072480998993
1866.0970285328426,0.3790281531952919
1864.169526649664,0.3749360588562347
1862.2420247664859,0.3709606496588064
1860.3145228833073,0.36761404525579794
1858.3870210001292,0.364761855969776
1856.4595191169506,0.36161256075915904
1854.5320172337724,0.3583664732767347
1852.6045153505938,0.35626402922428685
1850.6770134674157,0.35550273675944893
1848.749511584237,0.35481574795335274
