baseline_method,sample_id,sample_potential_mV_vs_AgAgCl,manual_potential_mV_vs_AgAgCl,potential_gap_mV,manual_centre_cm1,manual_height,aspls_centre_cm1,aspls_height,centre_abs_error_cm1,height_abs_error,height_relative_error_percent,peak_match,match_reason,nearest_fitted_centre_cm1,nearest_centre_distance_cm1
asPLS,011g,-275.0,-250.0,25.0,2074.0,0.01128,,,,,,False,nearest_peak_outside_centre_tolerance,1958.8331026081944,115.1668973918056
asPLS,011g,-275.0,-250.0,25.0,2084.0,0.0215,,,,,,False,nearest_peak_outside_centre_tolerance,1958.8331026081944,125.1668973918056
asPLS,011h,-300.0,-325.0,25.0,1946.0,0.02722,1947.1787364555405,0.0858296383697973,1.178736455540502,0.0586096383697973,215.3182893820621,True,nearest_peak_within_tolerance,1947.1787364555405,1.178736455540502
asPLS,011h,-300.0,-325.0,25.0,1965.0,0.05609,,,,,,False,nearest_peak_outside_centre_tolerance,1947.1787364555405,17.821263544459498
asPLS,011h,-300.0,-325.0,25.0,2074.0,0.0093,,,,,,False,nearest_peak_outside_centre_tolerance,1947.1787364555405,126.8212635444595
asPLS,011h,-300.0,-325.0,25.0,2084.0,0.01881,,,,,,False,nearest_peak_outside_centre_tolerance,1947.1787364555405,136.8212635444595
asPLS,011h,-300.0,-325.0,25.0,1909.3,0.00546,,,,,,False,nearest_peak_outside_centre_tolerance,1947.1787364555405,37.87873645554055
asPLS,011h,-300.0,-325.0,25.0,2062.0,0.00313,,,,,,False,nearest_peak_outside_centre_tolerance,1947.1787364555405,114.8212635444595
asPLS,011h,-300.0,-325.0,25.0,1914.0,0.01787,,,,,,False,nearest_peak_outside_centre_tolerance,1947.1787364555405,33.1787364555405
asPLS,011i,-325.0,-325.0,0.0,1946.0,0.02722,1947.0435162949243,0.098932128808078,1.0435162949243022,0.07171212880807801,263.45381634121236,True,nearest_peak_within_tolerance,1947.0435162949243,1.0435162949243022
asPLS,011i,-325.0,-325.0,0.0,1965.0,0.05609,,,,,,False,nearest_peak_outside_centre_tolerance,1947.0435162949243,17.956483705075698
asPLS,011i,-325.0,-325.0,0.0,2074.0,0.0093,,,,,,False,nearest_peak_outside_centre_tolerance,1947.0435162949243,126.9564837050757
asPLS,011i,-325.0,-325.0,0.0,2084.0,0.01881,,,,,,False,nearest_peak_outside_centre_tolerance,1947.0435162949243,136.9564837050757
asPLS,011i,-325.0,-325.0,0.0,1909.3,0.00546,,,,,,False,nearest_peak_outside_centre_tolerance,1947.0435162949243,37.74351629492435
asPLS,011i,-325.0,-325.0,0.0,2062.0,0.00313,,,,,,False,nearest_peak_outside_centre_tolerance,1947.0435162949243,114.9564837050757
asPLS,011i,-325.0,-325.0,0.0,1914.0,0.01787,,,,,,False,nearest_peak_outside_centre_tolerance,1947.0435162949243,33.0435162949243
asPLS,011k,-375.0,-375.0,0.0,2054.0,0.01078,,,,,,False,nearest_peak_outside_centre_tolerance,1947.0576647998917,106.94233520010835
asPLS,011k,-375.0,-375.0,0.0,2076.0,0.01078,,,,,,False,nearest_peak_outside_centre_tolerance,1947.0576647998917,128.94233520010835
asPLS,011k,-375.0,-375.0,0.0,1937.90942,0.00392,,,,,,False,nearest_peak_outside_centre_tolerance,1947.0576647998917,9.1482447998917
asPLS,011k,-375.0,-375.0,0.0,1946.0,0.07596,1947.0576647998917,0.1132684121470318,1.0576647998916542,0.0373084121470318,49.115866438957084,True,nearest_peak_within_tolerance,1947.0576647998917,1.0576647998916542
asPLS,011k,-375.0,-375.0,0.0,1965.0,0.01893,,,,,,False,nearest_peak_outside_centre_tolerance,1947.0576647998917,17.942335200108346
asPLS,011k,-375.0,-375.0,0.0,2084.0,0.02104,,,,,,False,nearest_peak_outside_centre_tolerance,1947.0576647998917,136.94233520010835
asPLS,011k,-375.0,-375.0,0.0,1909.3,0.01752,,,,,,False,nearest_peak_outside_centre_tolerance,1947.0576647998917,37.7576647998917
asPLS,011l,-400.0,-400.0,0.0,2076.0,0.01007,,,,,,False,nearest_peak_outside_centre_tolerance,1946.8523069909004,129.1476930090996
asPLS,011l,-400.0,-400.0,0.0,1937.90942,0.00508,,,,,,False,nearest_peak_outside_centre_tolerance,1946.8523069909004,8.942886990900433
asPLS,011l,-400.0,-400.0,0.0,2058.0,0.00465,,,,,,False,nearest_peak_outside_centre_tolerance,1946.8523069909004,111.14769300909961
asPLS,011l,-400.0,-400.0,0.0,1946.0,0.06529,1946.8523069909004,0.1120687512343305,0.852306990900388,0.04677875123433049,71.64765084137002,True,nearest_peak_within_tolerance,1946.8523069909004,0.852306990900388
asPLS,011l,-400.0,-400.0,0.0,1965.0,0.0327,,,,,,False,nearest_peak_outside_centre_tolerance,1946.8523069909004,18.147693009099612
asPLS,011l,-400.0,-400.0,0.0,2084.0,0.02013,,,,,,False,nearest_peak_outside_centre_tolerance,1946.8523069909004,137.1476930090996
asPLS,011l,-400.0,-400.0,0.0,1909.3,0.01838,,,,,,False,nearest_peak_outside_centre_tolerance,1946.8523069909004,37.55230699090043
asPLS,011l,-400.0,-400.0,0.0,1952.0,0.00509,,,,,,False,nearest_peak_outside_centre_tolerance,1946.8523069909004,5.147693009099612
asPLS,011l,-400.0,-400.0,0.0,1868.0,0.0102,,,,,,False,nearest_peak_outside_centre_tolerance,1946.8523069909004,78.85230699090039
asPLS,011m,-425.0,-425.0,0.0,1937.90942,0.0015,,,,,,False,nearest_peak_outside_centre_tolerance,1946.128746040145,8.219326040145006
asPLS,011m,-425.0,-425.0,0.0,2058.0,0.0037,,,,,,False,nearest_peak_outside_centre_tolerance,2087.4755406107643,29.475540610764256
