fit_attempt_id,processing_run_id,sample_id,raw_file,run_timestamp_utc,software_version,processing_mode,fit_attempt_status,fit_model,solver,bound_profile_id,wavenumber_min_cm1,wavenumber_max_cm1,threshold,adjustment_factor,atmospheric_correction_method,baseline_method,baseline_config_json,detected_peak_count,fitted_peak_count,fit_converged,solver_status,solver_message,nfev,rmse,residual_mean,residual_max_abs,input_qc_pass,input_qc_reason,baseline_qc_pass,baseline_qc_reason,baseline_over_fraction,baseline_max_overshoot,baseline_oversubtraction_area,zero_clipping_fraction,fit_valid,fit_valid_reason,needs_manual_review,manual_review_reason,overall_qc,overall_qc_reason,triggered_rule_count,notes
erni-arpls-011f-gaussian,erni-arpls-011f,011f,011f as iso Hyd2 dark titration -250mV.0008,2026-08-05T21:19:40Z,week6_standalone_peak_fitting_wrapper_v0.1,automated,completed,Gaussian,scipy.optimize.curve_fit,pH6_bounds_v0.1,1848.0,2149.0,,,,peak_guided_arPLS,"{""alpha"":0.8,""baseline_family"":""arPLS"",""baseline_implementation"":""Erni_ProSpecPy_week6"",""baseline_method"":""peak_guided_arPLS"",""config_source"":""Erni workflow_demo.ipynb Week 6 default"",""lam"":100000.0,""max_iter"":100,""peak_threshold"":0.35,""peak_weight"":0.3,""peak_window"":35,""ratio"":1e-06}",3,3,TRUE,COMPLETED,,,0.001983503463760662,0.0008003439503698306,0.00809405761791853,TRUE,,TRUE,,,,,0.481,TRUE,,FALSE,,TRUE,,0,"candidate_peak_source=/workspaces/ProSpecPy/peak_fitting_results/erni_inputs/candidate_peaks/erni-arpls-011f_candidate_peaks.csv; metadata_notes=Prepared from Erni Week 6 arPLS output; baseline QC is provisional numeric availability QC, not a validated baseline-quality threshold."
erni-arpls-011f-lorentzian,erni-arpls-011f,011f,011f as iso Hyd2 dark titration -250mV.0008,2026-08-05T21:19:40Z,week6_standalone_peak_fitting_wrapper_v0.1,automated,completed,Lorentzian,scipy.optimize.curve_fit,pH6_bounds_v0.1,1848.0,2149.0,,,,peak_guided_arPLS,"{""alpha"":0.8,""baseline_family"":""arPLS"",""baseline_implementation"":""Erni_ProSpecPy_week6"",""baseline_method"":""peak_guided_arPLS"",""config_source"":""Erni workflow_demo.ipynb Week 6 default"",""lam"":100000.0,""max_iter"":100,""peak_threshold"":0.35,""peak_weight"":0.3,""peak_window"":35,""ratio"":1e-06}",3,3,TRUE,COMPLETED,,,0.002105972652877611,0.0003653321330354848,0.008707265147950347,TRUE,,TRUE,,,,,0.481,TRUE,,FALSE,,TRUE,,0,"candidate_peak_source=/workspaces/ProSpecPy/peak_fitting_results/erni_inputs/candidate_peaks/erni-arpls-011f_candidate_peaks.csv; metadata_notes=Prepared from Erni Week 6 arPLS output; baseline QC is provisional numeric availability QC, not a validated baseline-quality threshold."
erni-arpls-011g-gaussian,erni-arpls-011g,011g,011g as iso Hyd2 dark titration -275mV.0007,2026-08-05T21:19:40Z,week6_standalone_peak_fitting_wrapper_v0.1,automated,completed,Gaussian,scipy.optimize.curve_fit,pH6_bounds_v0.1,1848.0,2149.0,,,,peak_guided_arPLS,"{""alpha"":0.8,""baseline_family"":""arPLS"",""baseline_implementation"":""Erni_ProSpecPy_week6"",""baseline_method"":""peak_guided_arPLS"",""config_source"":""Erni workflow_demo.ipynb Week 6 default"",""lam"":100000.0,""max_iter"":100,""peak_threshold"":0.35,""peak_weight"":0.3,""peak_window"":35,""ratio"":1e-06}",2,2,TRUE,COMPLETED,,,0.0020456870443352564,0.0008604795045694023,0.009826044770916198,TRUE,,TRUE,,,,,0.465,TRUE,,FALSE,,TRUE,,0,"candidate_peak_source=/workspaces/ProSpecPy/peak_fitting_results/erni_inputs/candidate_peaks/erni-arpls-011g_candidate_peaks.csv; metadata_notes=Prepared from Erni Week 6 arPLS output; baseline QC is provisional numeric availability QC, not a validated baseline-quality threshold."
erni-arpls-011g-lorentzian,erni-arpls-011g,011g,011g as iso Hyd2 dark titration -275mV.0007,2026-08-05T21:19:40Z,week6_standalone_peak_fitting_wrapper_v0.1,automated,completed,Lorentzian,scipy.optimize.curve_fit,pH6_bounds_v0.1,1848.0,2149.0,,,,peak_guided_arPLS,"{""alpha"":0.8,""baseline_family"":""arPLS"",""baseline_implementation"":""Erni_ProSpecPy_week6"",""baseline_method"":""peak_guided_arPLS"",""config_source"":""Erni workflow_demo.ipynb Week 6 default"",""lam"":100000.0,""max_iter"":100,""peak_threshold"":0.35,""peak_weight"":0.3,""peak_window"":35,""ratio"":1e-06}",2,2,TRUE,COMPLETED,,,0.0021105606589311263,0.0004997045755997536,0.009796072672524952,TRUE,,TRUE,,,,,0.465,TRUE,,FALSE,,TRUE,,0,"candidate_peak_source=/workspaces/ProSpecPy/peak_fitting_results/erni_inputs/candidate_peaks/erni-arpls-011g_candidate_peaks.csv; metadata_notes=Prepared from Erni Week 6 arPLS output; baseline QC is provisional numeric availability QC, not a validated baseline-quality threshold."
erni-arpls-011h-gaussian,erni-arpls-011h,011h,011h as iso Hyd2 dark titration -300mV.0006,2026-08-05T21:19:40Z,week6_standalone_peak_fitting_wrapper_v0.1,automated,completed,Gaussian,scipy.optimize.curve_fit,pH6_bounds_v0.1,1848.0,2149.0,,,,peak_guided_arPLS,"{""alpha"":0.8,""baseline_family"":""arPLS"",""baseline_implementation"":""Erni_ProSpecPy_week6"",""baseline_method"":""peak_guided_arPLS"",""config_source"":""Erni workflow_demo.ipynb Week 6 default"",""lam"":100000.0,""max_iter"":100,""peak_threshold"":0.35,""peak_weight"":0.3,""peak_window"":35,""ratio"":1e-06}",1,1,TRUE,COMPLETED,,,0.0020999538575732454,0.0008921897982670556,0.011908409427450029,TRUE,,TRUE,,,,,0.47,TRUE,,FALSE,,TRUE,,0,"candidate_peak_source=/workspaces/ProSpecPy/peak_fitting_results/erni_inputs/candidate_peaks/erni-arpls-011h_candidate_peaks.csv; metadata_notes=Prepared from Erni Week 6 arPLS output; baseline QC is provisional numeric availability QC, not a validated baseline-quality threshold."
erni-arpls-011h-lorentzian,erni-arpls-011h,011h,011h as iso Hyd2 dark titration -300mV.0006,2026-08-05T21:19:40Z,week6_standalone_peak_fitting_wrapper_v0.1,automated,completed,Lorentzian,scipy.optimize.curve_fit,pH6_bounds_v0.1,1848.0,2149.0,,,,peak_guided_arPLS,"{""alpha"":0.8,""baseline_family"":""arPLS"",""baseline_implementation"":""Erni_ProSpecPy_week6"",""baseline_method"":""peak_guided_arPLS"",""config_source"":""Erni workflow_demo.ipynb Week 6 default"",""lam"":100000.0,""max_iter"":100,""peak_threshold"":0.35,""peak_weight"":0.3,""peak_window"":35,""ratio"":1e-06}",1,1,TRUE,COMPLETED,,,0.002416832803143995,0.0003678845346877712,0.013091104732104024,TRUE,,TRUE,,,,,0.47,TRUE,,FALSE,,TRUE,,0,"candidate_peak_source=/workspaces/ProSpecPy/peak_fitting_results/erni_inputs/candidate_peaks/erni-arpls-011h_candidate_peaks.csv; metadata_notes=Prepared from Erni Week 6 arPLS output; baseline QC is provisional numeric availability QC, not a validated baseline-quality threshold."
erni-arpls-011i-gaussian,erni-arpls-011i,011i,011i as iso Hyd2 dark titration -325mV.0008,2026-08-05T21:19:40Z,week6_standalone_peak_fitting_wrapper_v0.1,automated,completed,Gaussian,scipy.optimize.curve_fit,pH6_bounds_v0.1,1848.0,2149.0,,,,peak_guided_arPLS,"{""alpha"":0.8,""baseline_family"":""arPLS"",""baseline_implementation"":""Erni_ProSpecPy_week6"",""baseline_method"":""peak_guided_arPLS"",""config_source"":""Erni workflow_demo.ipynb Week 6 default"",""lam"":100000.0,""max_iter"":100,""peak_threshold"":0.35,""peak_weight"":0.3,""peak_window"":35,""ratio"":1e-06}",1,1,TRUE,COMPLETED,,,0.002274806163479414,0.0009214443966076055,0.014688464573536342,TRUE,,TRUE,,,,,0.457,TRUE,,FALSE,,TRUE,,0,"candidate_peak_source=/workspaces/ProSpecPy/peak_fitting_results/erni_inputs/candidate_peaks/erni-arpls-011i_candidate_peaks.csv; metadata_notes=Prepared from Erni Week 6 arPLS output; baseline QC is provisional numeric availability QC, not a validated baseline-quality threshold."
erni-arpls-011i-lorentzian,erni-arpls-011i,011i,011i as iso Hyd2 dark titration -325mV.0008,2026-08-05T21:19:40Z,week6_standalone_peak_fitting_wrapper_v0.1,automated,completed,Lorentzian,scipy.optimize.curve_fit,pH6_bounds_v0.1,1848.0,2149.0,,,,peak_guided_arPLS,"{""alpha"":0.8,""baseline_family"":""arPLS"",""baseline_implementation"":""Erni_ProSpecPy_week6"",""baseline_method"":""peak_guided_arPLS"",""config_source"":""Erni workflow_demo.ipynb Week 6 default"",""lam"":100000.0,""max_iter"":100,""peak_threshold"":0.35,""peak_weight"":0.3,""peak_window"":35,""ratio"":1e-06}",1,1,TRUE,COMPLETED,,,0.0028674675218638896,0.0003280912509628946,0.014648508481158557,TRUE,,TRUE,,,,,0.457,TRUE,,FALSE,,TRUE,,0,"candidate_peak_source=/workspaces/ProSpecPy/peak_fitting_results/erni_inputs/candidate_peaks/erni-arpls-011i_candidate_peaks.csv; metadata_notes=Prepared from Erni Week 6 arPLS output; baseline QC is provisional numeric availability QC, not a validated baseline-quality threshold."
erni-arpls-011k-gaussian,erni-arpls-011k,011k,011k as iso Hyd2 dark titration -375mV.0016,2026-08-05T21:19:40Z,week6_standalone_peak_fitting_wrapper_v0.1,automated,completed,Gaussian,scipy.optimize.curve_fit,pH6_bounds_v0.1,1848.0,2149.0,,,,peak_guided_arPLS,"{""alpha"":0.8,""baseline_family"":""arPLS"",""baseline_implementation"":""Erni_ProSpecPy_week6"",""baseline_method"":""peak_guided_arPLS"",""config_source"":""Erni workflow_demo.ipynb Week 6 default"",""lam"":100000.0,""max_iter"":100,""peak_threshold"":0.35,""peak_weight"":0.3,""peak_window"":35,""ratio"":1e-06}",1,1,TRUE,COMPLETED,,,0.0025949804196234417,0.0011409220114633471,0.01632577640850047,TRUE,,TRUE,,,,,0.451,TRUE,,FALSE,,TRUE,,0,"candidate_peak_source=/workspaces/ProSpecPy/peak_fitting_results/erni_inputs/candidate_peaks/erni-arpls-011k_candidate_peaks.csv; metadata_notes=Prepared from Erni Week 6 arPLS output; baseline QC is provisional numeric availability QC, not a validated baseline-quality threshold."
erni-arpls-011k-lorentzian,erni-arpls-011k,011k,011k as iso Hyd2 dark titration -375mV.0016,2026-08-05T21:19:40Z,week6_standalone_peak_fitting_wrapper_v0.1,automated,completed,Lorentzian,scipy.optimize.curve_fit,pH6_bounds_v0.1,1848.0,2149.0,,,,peak_guided_arPLS,"{""alpha"":0.8,""baseline_family"":""arPLS"",""baseline_implementation"":""Erni_ProSpecPy_week6"",""baseline_method"":""peak_guided_arPLS"",""config_source"":""Erni workflow_demo.ipynb Week 6 default"",""lam"":100000.0,""max_iter"":100,""peak_threshold"":0.35,""peak_weight"":0.3,""peak_window"":35,""ratio"":1e-06}",1,1,TRUE,COMPLETED,,,0.003298001410318027,0.0004936175265275244,0.0162821500714707,TRUE,,TRUE,,,,,0.451,TRUE,,FALSE,,TRUE,,0,"candidate_peak_source=/workspaces/ProSpecPy/peak_fitting_results/erni_inputs/candidate_peaks/erni-arpls-011k_candidate_peaks.csv; metadata_notes=Prepared from Erni Week 6 arPLS output; baseline QC is provisional numeric availability QC, not a validated baseline-quality threshold."
