peak_result_id,fit_attempt_id,peak_index,peak_identity,peak_assignment_status,reference_evidence_ids,matched_reference_centre_cm1,initial_centre_cm1,initial_model_amplitude,initial_fwhm_cm1,fitted_centre_cm1,centre_deviation_cm1,raw_model_amplitude,raw_width_parameter,raw_width_parameter_name,peak_height,peak_area,fwhm_cm1,position_stderr,height_stderr,area_stderr,fwhm_stderr,peak_valid,peak_valid_reason,needs_manual_review,manual_review_reason,notes
erni-aspls-011m-gaussian-p004,erni-aspls-011m-gaussian,4,,unassigned,,,2087.233233233233,,,2087.4755406107643,,0.10862491986137776,2.69092218724407,sigma,0.016104171812676194,0.10862491986137776,6.336637506140861,,,,,TRUE,,FALSE,,No automatic peak identity assignment was applied.
erni-aspls-011m-lorentzian-p001,erni-aspls-011m-lorentzian,1,,unassigned,,,1910.971971971972,,,1910.578046148877,,0.024124109927213408,3.444290092726285,gamma,0.024124109927213408,0.2610362933250679,6.88858018545257,,,,,TRUE,,FALSE,,No automatic peak identity assignment was applied.
erni-aspls-011m-lorentzian-p002,erni-aspls-011m-lorentzian,2,,unassigned,,,1946.2242242242241,,,1946.1242131125334,,0.08202978293988832,2.8318357729148143,gamma,0.08202978293988832,0.7297758689137511,5.6636715458296285,,,,,TRUE,,FALSE,,No automatic peak identity assignment was applied.
erni-aspls-011m-lorentzian-p003,erni-aspls-011m-lorentzian,3,,unassigned,,,1966.4114114114113,,,1966.5151524466385,,0.05935333002930432,2.5182790306782277,gamma,0.05935333002930432,0.46956834487829613,5.036558061356455,,,,,TRUE,,FALSE,,No automatic peak identity assignment was applied.
erni-aspls-011m-lorentzian-p004,erni-aspls-011m-lorentzian,4,,unassigned,,,2087.233233233233,,,2087.375751980585,,0.01684720485373296,2.81943798858192,gamma,0.01684720485373296,0.1492245494964311,5.63887597716384,,,,,TRUE,,FALSE,,No automatic peak identity assignment was applied.
erni-aspls-011n-gaussian-p001,erni-aspls-011n-gaussian,1,,unassigned,,,1910.3693693693695,,,1910.528347676701,,0.22720462494680954,3.927470839373534,sigma,0.02307885529927717,0.22720462494680954,9.248487058831325,,,,,TRUE,,FALSE,,No automatic peak identity assignment was applied.
erni-aspls-011n-gaussian-p002,erni-aspls-011n-gaussian,2,,unassigned,,,1946.2242242242241,,,1946.0878971340073,,0.46304982349589746,3.0884366750633725,sigma,0.05981348234091403,0.46304982349589746,7.272712590247966,,,,,TRUE,,FALSE,,No automatic peak identity assignment was applied.
erni-aspls-011n-gaussian-p003,erni-aspls-011n-gaussian,3,,unassigned,,,1966.4114114114113,,,1966.4840315138442,,0.5172981978803948,3.0238682590844936,sigma,0.06824772279346505,0.5172981978803948,7.1206655900250055,,,,,TRUE,,FALSE,,No automatic peak identity assignment was applied.
erni-aspls-011n-gaussian-p004,erni-aspls-011n-gaussian,4,,unassigned,,,2087.835835835836,,,2087.863004948351,,0.11613580889194612,2.620233244775628,sigma,0.01768219853251475,0.11613580889194612,6.170177767454135,,,,,TRUE,,FALSE,,No automatic peak identity assignment was applied.
erni-aspls-011n-lorentzian-p001,erni-aspls-011n-lorentzian,1,,unassigned,,,1910.3693693693695,,,1910.4072523878544,,0.02456282607813467,3.469233231540157,gamma,0.02456282607813467,0.2677082182788495,6.938466463080314,,,,,TRUE,,FALSE,,No automatic peak identity assignment was applied.
