wavenumber,absorbance
2149.4398053600635,-2.6446160579544627e-05
2149.1388140750028,-2.7817088152389124e-05
2148.8378227899416,-2.753092901471401e-05
2148.536831504881,-2.572628357464155e-05
2148.23584021982,-2.254175224029373e-05
2147.934848934759,-1.8115935419784205e-05
2147.6338576496983,-1.2587433521247753e-05
2147.332866364637,-6.094846952789319e-06
2147.0318750795764,1.2232238774500855e-06
2146.7308837945156,9.228178561358367e-06
2146.4298925094545,1.778141669082758e-05
2146.1289012243938,2.674433785771048e-05
2145.827909939333,3.5978341653898423e-05
2145.526918654272,4.534463414934968e-05
2145.225927369211,5.465907380607524e-05
2144.92493608415,6.363413347594573e-05
2144.6239447990893,7.196794835768222e-05
2144.3229535140285,7.935865365004718e-05
2144.0219622289674,8.550438455179744e-05
2143.7209709439067,9.010327626166258e-05
2143.419979658846,9.285547479307823e-05
2143.1189883737848,9.347655053560358e-05
2142.817997088724,9.168921383033703e-05
2142.517005803663,8.721621385115728e-05
2142.216014518602,7.978029977196249e-05
2141.9150232335414,6.910422076663306e-05
2141.6140319484803,5.491868108964981e-05
2141.3130406634195,3.729371691448726e-05
2141.012049378359,1.675840438665453e-05
2140.7110580932977,-6.125596338137275e-06
2140.410066808237,-3.0796625104071114e-05
2140.1090755231758,-5.669302175547251e-05
2139.808084238115,-8.32531261365153e-05
2139.5070929530543,-0.00010977519519624701
2139.206101667993,-0.00013496386942154397
2138.9051103829324,-0.00015736657555133628
2138.6041190978717,-0.00017553073926864543
2138.3031278128105,-0.00018800378625646722
2138.00213652775,-0.00019333314219774418
2137.7011452426887,-0.0001901359745643551
2137.400153957628,-0.00017817468332648363
2137.099162672567,-0.00015814835750567138
2136.798171387506,-0.00013078359021852443
2136.4971801024453,-9.680697458177857e-05
2136.1961888173846,-5.694510371205027e-05
2135.8951975323234,-1.1925723447560049e-05
2135.5942062472627,3.716912054582835e-05
2135.293214962202,8.84045472688369e-05
2134.992223677141,0.00013971995632657957
2134.69123239208,0.00018905474732393632
2134.390241107019,0.00023434831986608693
2134.089249821958,0.00027354007355792946
2133.7882585368975,0.0003047275109313181
2133.4872672518363,0.00032729936112078516
2133.1862759667756,0.0003412748677326242
2132.885284681715,0.00034667754315225986
2132.5842933966537,0.00034353089976506447
2132.283302111593,0.0003318584499564316
2131.982310826532,0.00031169736832340617
2131.681319541471,0.00028374309151448814
2131.3803282564104,0.00024962798432373703
2131.079336971349,0.00021105599324829902
2130.7783456862885,0.0001697310647854995
2130.477354401228,0.0001273571454324901
2130.1763631161666,8.563818168641584e-05
2129.875371831106,4.625186867107696e-05
2129.5743805460447,1.0758041663321479e-05
2129.273389260984,-1.9316526509686174e-05
2128.9723979759233,-4.244506470103561e-05
2128.671406690862,-5.710080176377444e-05
2128.3704154058014,-6.175696655088917e-05
2128.0694241207407,-5.495486631489685e-05
2127.7684328356795,-3.644693612602241e-05
2127.467441550619,-7.027364928275993e-06
2127.1664502655576,3.2475695897058196e-05
2126.865458980497,8.123409496848935e-05
2126.564467695436,0.00013841968090469933
2126.263476410375,0.00020320286905927765
2125.9624851253143,0.0002741551491137535
2125.6614938402536,0.0003483251665351835
2125.3605025551924,0.00042252310730242563
2125.0595112701317,0.0004935591573939993
2124.7585199850705,0.0005582435027888558
2124.45752870001,0.0006133863294655438
2124.156537414949,0.0006560039806024154
2123.855546129888,0.0006849071305586003
2123.554554844827,0.0006998303433649497
2123.2535635597665,0.00070051581850429
2122.9525722747053,0.000686705755459361
2122.6515809896446,0.0006581423537129766
2122.3505897045834,0.0006145905056275403
2122.0495984195227,0.0005570589784362998
2121.748607134462,0.000488419752425219
2121.447615849401,0.00041169774357026215
2121.14662456434,0.00032991786784774944
2120.8456332792794,0.00024610504123365466
2120.544641994218,0.0001632841797039393
2120.2436507091575,8.419654376115452e-05
2119.9426594240967,1.0233927384546376e-05
2119.6416681390356,-5.761275046178034e-05
2119.340676853975,-0.0001183526359112741
2119.0396855689137,-0.00017099487509777026
2118.738694283853,-0.0002145486141547633
2118.4377029987922,-0.0002480545011617328
2118.136711713731,-0.000271161915674359
2117.8357204286704,-0.00028407083248059887
2117.5347291436096,-0.00028700106432852054
2117.2337378585485,-0.00028017242396613176
2116.9327465734877,-0.0002638047241414786
2116.6317552884266,-0.00023811795851968928
2116.330764003366,-0.0002034397253295743
2116.029772718305,-0.00016038675952758486
2115.728781433244,-0.00010962386042994282
2115.4277901481832,-5.181582735310653e-05
2115.1267988631225,1.2372540386691037e-05
2114.8258075780614,8.227644347325535e-05
2114.5248162930006,0.00015709994113347254
2114.2238250079395,0.00023482938327417082
2113.9228337228787,0.00031279025022200275
2113.621842437818,0.0003883014642751642
2113.320851152757,0.00045868194773183627
2113.019859867696,0.000521250622889883
2112.7188685826354,0.0005733422261302277
2112.4178772975743,0.000613285650184341
2112.1168860125135,0.0006409773647696777
2111.8158947274524,0.0006564518466865672
2111.5149034423916,0.0006597435727352075
2111.213912157331,0.0006508870197158771
2110.9129208722698,0.0006299166644287793
2110.611929587209,0.000597268940986094
2110.3109383021483,0.0005554070508947697
2110.009947017087,0.0005074315585289005
2109.7089557320264,0.0004564432608769896
2109.4079644469653,0.00040554295492724774
2109.1069731619045,0.0003578314376681867
2108.805981876844,0.0003163333195667386
2108.5049905917826,0.0002824695628096857
2108.203999306722,0.0002561359553948052
2107.903008021661,0.00023716780600274037
2107.6020167366,0.00022540042331417888
